,note,pro,con,anonymous,tutorial,topic,month,date
490,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-20
491,5,Easy ,"Maybe automattically update to gencode updates, there is no genecode v29 anymore",,Galaxy 101,Introduction to Galaxy Analyses,2019-11,2019-11-21
492,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-21
493,5,easy to follow,some guidance on the graphs that are generated and what they mean,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-25
494,4,,,,NGS data logistics,Introduction to Galaxy Analyses,2019-11,2019-11-27
495,5,Quick and easy to follow!,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-28
496,4,very good step by step instructions,explain what the each step is doing to my data in this particular example,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-28
497,5,Straightforward and easy to follow,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-28
498,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-28
499,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-28
500,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-11,2019-11-28
501,4,Very detailed and most steps are well explained.,"I do not understand why under ""Test the workflow"", point 5 it says ""Repeat until all input datasets are set."". The only input dataset is that of the genes of chromosome 22 as far as I understood. Second, the list of genes on chr22 have in the first place been extracted from UCSC. But this step is not included in the workflow, right? So, the workflow only starts with a dataset that needs to be copied to a new history if the workflow is to be applied to another dataset (i.e. genes of chr10)? Third, when running the workflow there is that option with multiple datasets. It would have been nice to mention and explain that.",,Extracting Workflows from Histories,Using Galaxy and Managing your Data,2019-11,2019-11-29
502,5,very clear instructions,,,Galaxy 101,Introduction to Galaxy Analyses,2019-11,2019-11-29
503,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-12,2019-12-02
504,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2019-12,2019-12-03
505,1,,,,Calling variants in non-diploid systems,Variant Analysis,2019-12,2019-12-05
506,4,"In general, it is good. For first time user, some instruction should include more details.",Some guides are not clear.,,Galaxy 101,Introduction to Galaxy Analyses,2019-12,2019-12-05
507,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2019-12,2019-12-05
508,0,,"Note from @jennaj: Noticed mismatched tools across tuto components. The  ""Reads mapping"" step description states ""We have used the HiCExplorer successfully with bwa, bowtie2 and hisat2. In this tutorial we will be using Map with BWA-MEM tool."" *However* the ""Hands-on: Mapping reads"" box has the mapping tool specified as ""Map with Bowtie"". The tool name doesn't fully match a Galaxy wrapped tool but looks as if it was intended to match ""Map with Bowtie for Illumina"" tool from some earlier tutorial revision,  but the tool options/settings are actually for ""Bowtie2"" (tweak SAM/BAM output). The tuto workflow uses ""Map with BWA-MEM (Galaxy Version 0.8.0)"" which isn't available at EU or ORG (or that version is hidden in the tool panel + tool versions menu).  --------- Punchline ... three different tools are mixed up, at the first step of the tuto after loading the initial fastq inputs. Probably should adjust to make all for either Bowtie2 or BWA-MEM using a version available at EU (so it can be run there). Be nice to have this work at (at least) one of the usegalaxy.* servers :) ORG doesn't include HiC tools. Will ticket this and whatever else is found after reviewing the remainder of steps.",,Hi-C analysis of Drosophila melanogaster cells using HiCExplorer,Epigenetics,2019-12,2019-12-09
509,5,,,,Label-free versus Labelled - How to Choose Your Quantitation Method,Proteomics,2019-12,2019-12-10
510,5,,,,Quality Control,Sequence analysis,2019-12,2019-12-11
511,5,a good resource for a training session,"too many steps where you have to 'prepare' data, e.g. sorting the provided bed file",,ATAC-Seq data analysis,Epigenetics,2019-12,2019-12-12
512,5,,,,ATAC-Seq data analysis,Epigenetics,2019-12,2019-12-12
513,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-12,2019-12-12
514,5,,,,Microbial Variant Calling,Variant Analysis,2019-12,2019-12-12
515,1,,,,Genome Annotation,Genome Annotation,2019-12,2019-12-15
516,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-12,2019-12-19
517,5,Stepwise procedure is helpful,"Additional GUI based support tool and environment , parameters like isoforms, splice variant, etc can also be explained in detail",,1: RNA-Seq reads to counts,Transcriptomics,2019-12,2019-12-24
518,5,all of the web,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-12,2019-12-27
519,5,flow of the tutorial ,more accurate galaxy functions reference. ,,Analyses of metagenomics data - The global picture,Metagenomics,2019-12,2019-12-29
520,3,I liked the step-by-step how to instructions,"I got lost at ""make.contigs"" - could not find out how to use that tool in Galaxy :(",,16S Microbial Analysis with mothur (extended),Metagenomics,2019-12,2019-12-30
521,5,"simple, informative and straightforward ",,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2019-12,2019-12-31
522,5,,,,Deploying a compute cluster in OpenStack via Terraform,Galaxy Server administration,2019-12,2019-12-31
523,5,,,,Set up a Galaxy for Training,Teaching and Hosting Galaxy training,2020-01,2020-01-02
524,5,Repeatable workflow for fresh man to this server.,Further clarification to the function input parameter maybe need.,,Galaxy 101,Introduction to Galaxy Analyses,2020-01,2020-01-02
525,5,"The questions, pictures, easy explanations, AMAZING!!",Update for updated version of Galaxy?,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-02
526,4,,,,Set up a Galaxy for Training,Teaching and Hosting Galaxy training,2020-01,2020-01-03
527,5,,,,Quality Control,Sequence analysis,2020-01,2020-01-05
528,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-06
529,5,,,,Deploying a compute cluster in OpenStack via Terraform,Galaxy Server administration,2020-01,2020-01-06
530,5,"It was so clearly divided up. I loved the different icons/open/close boxes that made things make so much sense AND could show main points & extra info. It's hard as an outsider to understand priorities, so that was brilliant.",,,Quality Control,Sequence analysis,2020-01,2020-01-07
531,5,It is easy to understand and I hope I can start this tool easily.,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-08
532,3,It was largely well-written.,The JBrowse tool would not show me anything in that bit of the chromosome and kept erroring 'name can't be found',,Mapping,Sequence analysis,2020-01,2020-01-08
533,5,,,,1: RNA-Seq reads to counts,Transcriptomics,2020-01,2020-01-09
534,1,,,,An Introduction to Genome Assembly,Assembly,2020-01,2020-01-09
535,4,,"In step 6 it is explained to insert each of the datasets one after the other (with Concatenate datasets tail-to-head). However, one can insert more than one dataset at once with this tool, so why not do that? Also, it should read ""Redo for the remaining four outputs of MACS2 callpeak"" - it is six in total and in the first step you concatenate two and then add the remaining.  Why are the bedgraph files created if they are not used for anything?",,Formation of the Super-Structures on the Inactive X,Epigenetics,2020-01,2020-01-10
536,5,Interpretation of the results and being easy to follow,"Adding more explanation on how to visualize the trajectory, completing the analysis, also showing how to perform this run with a ligand also will be highly appreciated.",,Running molecular dynamics simulations using GROMACS,Computational chemistry,2020-01,2020-01-11
537,5,It is very interesting tutorial,,,Quality Control,Sequence analysis,2020-01,2020-01-13
538,5,The variety in options when it comes to software ,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-13
539,5,,,,Calling variants in diploid systems,Variant Analysis,2020-01,2020-01-13
540,5,detailed explanations and easy to follow,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-14
541,5,Very clear ,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-15
542,4,,,,1: RNA-Seq reads to counts,Transcriptomics,2020-01,2020-01-15
543,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-16
544,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-16
545,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-16
546,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-16
547,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-16
548,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-17
549,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-20
551,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2020-01,2020-01-24
552,5,Easy to follow and helpful,"Maybe more tips about what's important in setting criteria to filter the data; reasons, general practices...etc. ",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-01,2020-01-27
553,5,,,,Quality Control,Sequence analysis,2020-01,2020-01-28
554,4,The fact that it had a task in mind,"A bit more clarity on how to correctly indicate the column names would have saved me a lot of time trying different variations when ""Column: 4"" was not recognized as an input ",,Galaxy 101,Introduction to Galaxy Analyses,2020-01,2020-01-28
555,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2020-01,2020-01-29
556,5,,,,Mapping,Sequence analysis,2020-01,2020-01-29
557,5,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2020-01,2020-01-30
558,5,"It's simplicty, I will use the images for my presentation as it's much faster than the slideshow.",,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-03
559,5,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-03
560,5,The tutorial is self explanatory and very easy to follow for individual hands on ,,,DNA Methylation data analysis,Epigenetics,2020-02,2020-02-04
561,5,It was more advanced than the other introductory tutorial I had read.,,,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2020-02,2020-02-07
562,4,logical flow of info,what types of data can be processed having what type extension?,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-07
563,3,,introduce the tutorial with a statement of what type of data is being processed. Only when I saw a picture did I realize that your processing a flower called iris.,,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2020-02,2020-02-07
564,5,clearness,a brief intro to IPython,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-08
565,4,,,,Using dataset collections,Using Galaxy and Managing your Data,2020-02,2020-02-10
567,5,I liked the well-labeled comments/questions/hands on sections.  Great level for beginners.,"There were some very slight differences between my window and the windows shown here, but honestly, I think this problem is unavoidable, and also it is good practice for people to struggle a tiny bit to figure out exactly what to click on.  So...no improvements!",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-10
568,5,,,,ATAC-Seq data analysis,Epigenetics,2020-02,2020-02-11
569,5,"Very Informative. Looking forward to it. Even for beginner as i am, i can using a galaxy without any problem. Thank you guys :)","More analysis. Like whenever we'are using a tools, and it has a data view in it in the middle viewing panel, like QC, what is the number mean by all the statistic coming. Youre the best!",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-11
570,5,"the ""Testing the workflow"" part","I had to deal with ""fetch_url_whitelist"" option, as my input file was located on my galaxy server. ",,"Tools, Data, and Workflows for tutorials",Contributing to the Galaxy Training Material,2020-02,2020-02-11
571,5,"the ""Testing the workflow"" part","I had to deal with ""fetch_url_whitelist"" option, as my input file was located on my galaxy server. ",,"Tools, Data, and Workflows for tutorials",Contributing to the Galaxy Training Material,2020-02,2020-02-11
572,3,,in  Hands-on: Adjust chromosome names incolumn must be just number not Column:1  first part could explain more about chip seq and input data,,From peaks to genes,Introduction to Galaxy Analyses,2020-02,2020-02-12
573,5,"The instructions were clear and neat. Also, it covers important aspects of the language.",There should be one task that push us to combine and use the learned knowledge.,,R basics in Galaxy,Foundations of Data Science,2020-02,2020-02-12
574,4,It is easy to follow and summurazing many tools features as much as possible.,A real-life and frequently performed  case tutorial could be shown for demonstrating what could be done in IGV.,,IGV Introduction,Introduction to Galaxy Analyses,2020-02,2020-02-12
575,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-13
576,5,It was quite easy to follow and understand,"I saw 0.31 instead of 0.03 in the cut off box several times, would be better if it is corrected to 0.03 which is equal to 97% ",,16S Microbial Analysis with mothur (extended),Metagenomics,2020-02,2020-02-14
577,5,"Step-by-Step guide, simple and well informative",,,Ansible,Galaxy Server administration,2020-02,2020-02-14
578,5,Everthing,,,Galaxy Installation with Ansible,Galaxy Server administration,2020-02,2020-02-14
579,4,The format of the tutorial is easy to follow and the instructions are clear.  The organization is such that it was easy to find where I had left off from the day before.,"I ran into technical difficulties that I cannot resolve;  it's hard to say whether this is due to the tutorial itself (visualizations hasn't worked yet;  the first analysis went fine, but the second yielded an empty data set).  Also, it took FAR longer than 3 hours; I do wonder if having a smaller mock data set would have helped this problem.    I'm trying to learn galaxy in order to incorporate an activity into my undergraduate course.  This tutorial seemed more relevant for training people who will use galaxy for their research.  A toned-down version with a smaller data set, perhaps without so many necessary file preparation steps would have been appreciated for my particular goals.  Having said that, I am guessing I am not the target audience, so I can see how this tutorial would be very useful for another audience.",,From peaks to genes,Introduction to Galaxy Analyses,2020-02,2020-02-14
580,5,"I appreciated that this tutorial used a smaller data set, so that the analysis went much faster.  I also appreciated comments on what to look for if the analysis didn't work.  I am a genetics instructor at a PUI, so this tutorial was at a good level for me to think about what I want to teach my students.","At the section on ""recovering exon info"" it would be nice to prompt the audience to consider which data sets they should compare, and which columns should be used (maybe as a side activity).  When viewing results at UCSC main, ideally it would be nice to direct audience something in particular to look for. There is a lot of data, which will definitely overwhelm my students.  This is a meta suggestion....I'm going through the introductory tutorials one by one and found this one to be more introductory than the ""peaks to genes"" tutorial.  I wonder if considering reordering tutorials (make this one the second on the list?) or naming tutorials would help audience.    Great tutorial - I definitely appreciate your work on this!",,Galaxy 101,Introduction to Galaxy Analyses,2020-02,2020-02-14
581,2,,this .bed file contain more row than number of genes on chr22 ?!,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-15
582,5,,,,2: RNA-seq counts to genes,Transcriptomics,2020-02,2020-02-17
583,5,Very easy to follow the instructions,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-18
584,5,I really liked how this tutorial encourages its audience to try to figure out which tools to use and how to use them to address the question.,"Just before the section on ""Examine the data"" there is a [TODO] line that has been left in.  Oops!",,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-20
585,5,every bit of it,"it was cool, and the best I think",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-21
586,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2020-02,2020-02-21
587,5,,,,Microbial Variant Calling,Variant Analysis,2020-02,2020-02-21
588,5,Everything,Further tutorials like this one ,,Visualisation with Circos,Visualisation,2020-02,2020-02-25
589,3,The easiness and the clarity of the examples provided. ,A print version of the tutorial or pdf to save for offline use. ,,ATAC-Seq data analysis,Epigenetics,2020-02,2020-02-25
590,5,detailed explanations; step for step,-,,From peaks to genes,Introduction to Galaxy Analyses,2020-02,2020-02-25
591,5,it was easy to understand how to do it,why do i do it?,,From peaks to genes,Introduction to Galaxy Analyses,2020-02,2020-02-25
592,5,,,,Label-free versus Labelled - How to Choose Your Quantitation Method,Proteomics,2020-02,2020-02-25
593,5,so great!!! its so helpful!!!!!,nothing.,,ATAC-Seq data analysis,Epigenetics,2020-02,2020-02-26
594,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-02,2020-02-26
595,5,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2020-02,2020-02-26
596,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2020-02,2020-02-29
597,5,very detailed,,,Label-free versus Labelled - How to Choose Your Quantitation Method,Proteomics,2020-03,2020-03-02
598,5,All of it,"Looks very good, with basic sample tasks.",,Ansible,Galaxy Server administration,2020-03,2020-03-02
599,4,exhaustive,"it would be nice to go a bit slower during the Galaxy installation, it was quite quick !",,Galaxy Installation with Ansible,Galaxy Server administration,2020-03,2020-03-02
600,3,Following the tutorial is pretty straightforward,It would be interesting to have a big picture of the processes / config files. Literally a big picture about which parts are we configuring and what are the implications.,,Galaxy Installation with Ansible,Galaxy Server administration,2020-03,2020-03-02
601,0,The clear and short convenient characteristics ,nothing,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-03
602,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-03
603,5,Very comprehensive tutorial. Helped me a lot,,,Running Jobs on Remote Resources with Pulsar,Galaxy Server administration,2020-03,2020-03-04
604,5,Content,Maybe still take it slow when editing the various files. It's sometimes hard to follow with the numerous kind of configuration files.,,Running Jobs on Remote Resources with Pulsar,Galaxy Server administration,2020-03,2020-03-04
605,5,"Thanks to ansible, easy to install :)",,,Galaxy Monitoring with Reports,Galaxy Server administration,2020-03,2020-03-04
606,5,,,,16S Microbial Analysis with mothur (extended),Metagenomics,2020-03,2020-03-06
607,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2020-03,2020-03-08
608,5,,,,Extracting Workflows from Histories,Using Galaxy and Managing your Data,2020-03,2020-03-09
610,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2020-03,2020-03-10
611,4,"I have to say the full workflow is very useful for the people who did't know this for a long time, thank you so much. but the tool 'Genrich',I  did't find it on the Galaxy...","I can't find some tools in Galaxy,",,ATAC-Seq data analysis,Epigenetics,2020-03,2020-03-10
612,5,,,,Analyses of metagenomics data - The global picture,Metagenomics,2020-03,2020-03-10
613,1,easy to start and its not completely frustrating like the university slides. It's quite astonishing that our university can't provide clear instructions how stuff works but the platform that is aimed at scientists does a better job explaining it. Thanks a lot,explanation part for hypergeometrical distribution is confusing me because the same words are used over and over again. maby include graphics to visualize the frequencies ,,GO Enrichment Analysis,Transcriptomics,2020-03,2020-03-10
614,4,,,,Quality Control,Sequence analysis,2020-03,2020-03-11
615,4,,Explanation how to use UCSC browser to see user track,,Galaxy 101,Introduction to Galaxy Analyses,2020-03,2020-03-12
616,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-12
617,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2020-03,2020-03-12
618,5,"Very accessible, especially if you compare the galaxy ui to something like bash.",-,,Exome sequencing data analysis for diagnosing a genetic disease,Variant Analysis,2020-03,2020-03-12
619,5,Learn how to run statistics,,,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2020-03,2020-03-16
620,5,,,,RNA-RNA interactome data analysis,Transcriptomics,2020-03,2020-03-16
621,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-16
622,5,Steps are clearly explained,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-17
623,4,,,,Analyses of metagenomics data - The global picture,Metagenomics,2020-03,2020-03-17
624,5,very basic.   I need that,How do you get back to a single history showing and the other two panels,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-18
625,5,,,,1: RNA-Seq reads to counts,Transcriptomics,2020-03,2020-03-18
626,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-19
627,4,,,,Quality Control,Sequence analysis,2020-03,2020-03-20
628,5,"easy to follow, great visual aids",,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-23
629,5,"simple, informative, easy first step by step guide",,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-23
630,5,"extensive, simple, step by step","in section ""Visualize Iris dataset with Scatterplot w ggplot2""  using the Data point options as user defined point options (relative size of points”: 2.0"") originates error. Leaving default parameters corrects error. ",,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2020-03,2020-03-23
631,5,"The degree of detail. I loved that even the parameters for the different tools were explained. I don't know if this is comparable to a real experiment analysis, but it surely felt as that. Congrats!","The Genrich tool is only available at the GalaxyEurope server. It would be nice that a warning would be given at the beginning of the tutorial, so that the whole analysis could be done there and avoid migrating data between Galaxy servers.",,DNA Methylation data analysis,Epigenetics,2020-03,2020-03-24
632,5,"The degree of detail. I loved that even the parameters for the different tools were explained. I don't know if this is comparable to a real experiment analysis, but it surely felt as that. Congrats!","The Genrich tool is only available at the GalaxyEurope server. It would be nice that a warning would be given at the beginning of the tutorial, so that the whole analysis could be done there and avoid migrating data between Galaxy servers.",,ATAC-Seq data analysis,Epigenetics,2020-03,2020-03-24
633,3,,Video are difficult to follow ,,NGS data logistics,Introduction to Galaxy Analyses,2020-03,2020-03-24
634,4,The picture examples were very helpful.,Information could be described more thoroughly.,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-03,2020-03-24
635,3,the step by step approach ,"take a look at the files, i could not find any adapters on the raw reads and therefore the ""adapter trimming"" section was hard to make.  more explaination on what the different steps are good for, and why the three reference files (rRNA, miRNA_hairpin and transcriptome) are used in particular",,Differential abundance testing of small RNAs,Transcriptomics,2020-03,2020-03-25
636,5,"Clear, stepwise",Gemini load dialog in usegalaxy.eu suggested the SnpEff eff output file was 'unavailable' to use. It made me go back and check things before pressing on regardless. Not a problem with the tutorial per se. Thanks,,Exome sequencing data analysis for diagnosing a genetic disease,Variant Analysis,2020-03,2020-03-25
637,3,Error when I followed instructions,"When I set “Data point options”: User defined point options “relative size of points” to 2.0, I got an error ""Error in alpha * 255 : non-numeric argument to binary operator Calls: ggsave ... validGP -> numnotnull -> alpha -> <Anonymous> -> encode_c""",,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2020-03,2020-03-26
638,3,Error when I followed instructions,"When I set “Data point options”: User defined point options “relative size of points” to 2.0, I got an error ""Error in alpha * 255 : non-numeric argument to binary operator Calls: ggsave ... validGP -> numnotnull -> alpha -> <Anonymous> -> encode_c""",,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2020-03,2020-03-26
639,5,"That I can get extra info about some of the things, but it is not included in the main scope of the tutorial (the grey info boxes). For my purpose right now, I want to read it, so I am gratefull it is there. But I also sometimes check manuals where I don't need to know everything, but just get my analysis to work",,,Quality Control,Sequence analysis,2020-03,2020-03-26
640,5,All,There is a mistake in upload file . LF and LE are lactate luminal and not virgin luminal.,,1: RNA-Seq reads to counts,Transcriptomics,2020-03,2020-03-27
641,5,,,,Automation with Jenkins,Galaxy Server administration,2020-03,2020-03-29
642,5,,,,Essential genes detection with Transposon insertion sequencing,Genome Annotation,2020-03,2020-03-30
643,1,,"failed at step of either join or count. column drop down was not available in count, so entered manually. when count applied, error on column sepecification",,Galaxy 101,Introduction to Galaxy Analyses,2020-03,2020-03-30
644,2,,"I miss some screenshot of how my data should look. At one point, in one of the steps where I had to choose some columns from a matrix to work on, I kept getting a wrong result. And I think the reason was, that I had something different in some of the columns than what I should have (so if for example I was asked to choose column 1, the data I was trying to get was actually in column 2) - if there were some screenshots of what the data should look like, I might have been able to see if I had a column too much",,Making sense of a newly assembled genome,Assembly,2020-04,2020-04-01
645,5,,,,Mapping,Sequence analysis,2020-04,2020-04-02
646,5,It was easy to follow,,,R basics in Galaxy,Foundations of Data Science,2020-04,2020-04-03
647,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-03
648,4,,,,From peaks to genes,Introduction to Galaxy Analyses,2020-04,2020-04-03
649,5,It was very clear!,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2020-04,2020-04-03
650,4,the detailed descreption,using a power point or video to visualize the steps in galaxy ,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-04
651,5,,,,Mapping,Sequence analysis,2020-04,2020-04-05
652,5,Very clear tutorial thank you very much! :),,,1: RNA-Seq reads to counts,Transcriptomics,2020-04,2020-04-05
653,5,Clear and easy explanation with exercise.,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-05
654,4,,,,Genome annotation with Prokka,Genome Annotation,2020-04,2020-04-07
655,5,Building more complex workflow from small steps.,"Hands-on: Count genes on different chromosomes - needs to be updated, instead of Column 1 only 1 should be used. Otherwise the analysis fails.",,From peaks to genes,Introduction to Galaxy Analyses,2020-04,2020-04-07
656,3,Easy to follow for beginners,Need more information about non default setting of Bowtie2 and SAMtools,,Mapping,Sequence analysis,2020-04,2020-04-08
657,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-08
658,4,The tutorial is clear and easy to be understand,everything is great :),,Quality Control,Sequence analysis,2020-04,2020-04-09
659,5,The fact that there was an exlpanation on why we are doing all these steps,Maybe adding PCA,,16S Microbial Analysis with mothur (extended),Metagenomics,2020-04,2020-04-09
660,3,,,,Quality Control,Sequence analysis,2020-04,2020-04-09
661,5,step by step approach,"adding more pictorial description of for example the exact place of the tool in the tool search, it took me long to find the tool I needed, and they didn't have that monkey-wrench image next to them",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-09
662,2,,,,Mapping,Sequence analysis,2020-04,2020-04-10
663,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-10
664,5,"Entire organization, rationale for the steps taken",link to smaple out put or all steps like EMBOSS tutorial does,,ATAC-Seq data analysis,Epigenetics,2020-04,2020-04-12
665,5,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2020-04,2020-04-14
666,2,very easy to follow,,,Galaxy 101,Introduction to Galaxy Analyses,2020-04,2020-04-15
667,4,I liked to explain the steps thank you,I think everything was good for me. But I gave you 4-on-5 because I had a hard time applying the last two phases.,,Quality Control,Sequence analysis,2020-04,2020-04-15
668,5,"Great that a URL was provided in case of not having a dataset to analyse yet. That made it possible to get ""hands on"". But also nice visualizations with pictures and the video, and good examples of how to search for the tools, how the three windows are arranged and how to navigate between the different histories. ","On the top of my head, nothing. ",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-15
669,5,The workflow is very clear and easy to use,"A little bit more information about alternative parameters, like using other annotation files than the build in genome and going a bit further into the advanced parameters of the featurecounts tool (How to map per feature vs. metafeature)",,1: RNA-Seq reads to counts,Transcriptomics,2020-04,2020-04-15
670,5,,,,NGS data logistics,Introduction to Galaxy Analyses,2020-04,2020-04-15
671,5,,,,Downstream Single-cell RNA analysis with RaceID,Transcriptomics,2020-04,2020-04-15
672,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-17
673,5,Very easy to follow and good reinforcement,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-17
674,5,Very easy to follow and good reinforcement,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-17
675,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-17
676,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-17
677,5,the hands on exercises,There was no Icarus viewer,,An Introduction to Genome Assembly,Assembly,2020-04,2020-04-18
678,5,The presentation was very clear,,,Contributing with GitHub via command-line,Contributing to the Galaxy Training Material,2020-04,2020-04-19
679,5,The tutorial was very clear and straight to the point ,nothing,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2020-04,2020-04-20
680,5,Liked the clean explanation with visuals. Great Job. In clears the process flow for beginners. ,"1) In situations where I'm working on a feature ""F1"" in branch ""B1"", while I prepare to make a PR, do I need to keep my local up-to date with Upstream before PR?  2) After deciding my feature branch is good to go for PR, can I checkout to Master and pull my feature first? What's the process for updating my Master with my new feature I developed?  Please answer this. I always have this confusion. Thanks.",,Contributing with GitHub via command-line,Contributing to the Galaxy Training Material,2020-04,2020-04-20
681,2,,"The tutorial is helpful, but more info about the different tools and adjustments made to the starting files would be helpful. Similarity info on when it is better to tag file during an analysis would also be beneficial.",,Group tags for complex experimental designs,Using Galaxy and Managing your Data,2020-04,2020-04-21
682,4,,,,GO Enrichment Analysis,Transcriptomics,2020-04,2020-04-21
683,5,The format and outlining are fantastic,Add a screen shot or graphic to illustrate the major steps in this workflow,,Unicycler assembly of SARS-CoV-2 genome with preprocessing to remove human genome reads,Assembly,2020-04,2020-04-22
684,5,It is simple and easy to follow.,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2020-04,2020-04-25
